zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000100016166	65364717	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-4	-8.48	-321.6	0	-6.1286	336.082	12	4	1	0	20	4	[(5, 'R'), (6, 'R'), (8, 'R'), (10, 'R'), (16, 'S'), (18, 'R')]	0	Anodyne	225	EAAARL	EA	hmdbendo
ZINC000030724120	42670713	Nc1ccccc1C(=O)C=C(O)C(=O)[O-]	-1	2.07	-48.3	1	-0.3567	206.177	5	2	0	1	15	3	[]	0	Anodyne	103	BCAEMM	BC	hmdbendo
ZINC000030724120	42670707	Nc1ccccc1C(=O)CC(=O)C(=O)[O-]	-1	3.03	-52.49	0	-0.8394	206.177	5	1	0	1	15	4	[]	0	Anodyne	100	BCAERM	BC	hmdbendo
ZINC000008219699	42734732	Nc1nc2c(c(=O)[n-]1)NC(C(=O)[C@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])CN2	-5	-3.97	-464.44	3	-5.0675	490.131	17	4	1	1	30	9	[(9, '?'), (12, 'R'), (16, 'R'), (20, 'S')]	0	Anodyne	302	JAABHL	JA	hmdbendo
ZINC000008219699	42734716	Nc1nc(=O)c2c([nH]1)NCC(C(=O)[C@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@](=O)([O-])O)N2	-3	-5.09	-237.56	2	-4.0646	492.147	16	6	1	1	30	9	[(10, '?'), (13, 'R'), (17, 'R'), (21, 'S'), (25, 'R')]	0	Anodyne	301	JAABLL	JA	hmdbendo
ZINC000008219699	42734702	Nc1nc(=O)c2c([nH]1)NCC(C(=O)[C@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)([O-])O)N2	-3	-5.09	-237.56	2	-4.0646	492.147	16	6	1	1	30	9	[(10, '?'), (13, 'R'), (17, 'R'), (21, 'S'), (25, 'S')]	0	Anodyne	301	JAABLL	JA	hmdbendo
ZINC000008219699	42734689	Nc1nc(=O)c2c([nH]1)NCC(C(=O)[C@H](O)CO[P@@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])N2	-4	-3.69	-394.12	0	-4.6966	491.139	17	5	1	1	30	9	[(10, '?'), (13, 'R'), (17, 'R'), (21, 'S')]	0	Anodyne	304	JAABRL	JA	hmdbendo
ZINC000006069529	66256808	Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N	0	-6.37	-21.38	0	-2.25458	257.246	8	4	1	1	18	2	[(4, 'R'), (6, 'R'), (9, 'S'), (11, 'R')]	0	Anodyne	130	CAAARN	CA	hmdbendo
ZINC000001570971	15033053	CCCCCC[C@H]([NH3+])C(=O)[O-]	0	2.85	-44.29	0	-0.682799999999999	159.229	2	1	0	0	11	6	[(6, 'S')]	0	Anodyne	67	ADAARN	AD	hmdbendo
ZINC000001845870	14899627	CCCCCC[C@@H]([NH3+])C(=O)[O-]	0	2.88	-44.11	0	-0.682799999999999	159.229	2	1	0	0	11	6	[(6, 'R')]	0	Anodyne	67	ADAARN	AD	hmdbendo
ZINC000002570173	15108781	O=C([O-])CCC(=O)c1cccnc1	-1	3.25	-48.52	0	-0.2056	178.167	4	0	0	1	13	4	[]	0	Anodyne	70	ADAARM	AD	hmdbendo
ZINC000003869664	65900461	O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	-2	-9.01	-140.57	0	-4.3684	258.119	9	4	1	0	16	3	[(5, 'S'), (7, 'R'), (10, 'S'), (12, 'S'), (14, 'S')]	0	Anodyne	162	CAABRL	CA	hmdbendo
ZINC000008215945	31679791	Nc1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@](=O)([O-])O)O2)c(=O)n1	-3	-4.73	-207.3	1	-3.0788	464.133	15	3	1	1	28	8	[(5, 'R'), (7, 'S'), (9, 'R'), (12, 'R'), (16, 'S'), (20, 'R')]	0	Anodyne	258	JAAAML	JA	hmdbendo
ZINC000008215945	31679727	Nc1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)([O-])O)O2)c(=O)n1	-3	-4.73	-207.3	1	-3.0788	464.133	15	3	1	1	28	8	[(5, 'R'), (7, 'S'), (9, 'R'), (12, 'R'), (16, 'S'), (20, 'S')]	0	Anodyne	258	JAAAML	JA	hmdbendo
ZINC000008215945	31679662	Nc1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1	-4	-3.88	-357.97	0	-3.7108	463.125	16	2	1	1	28	8	[(5, 'R'), (7, 'S'), (9, 'R'), (12, 'R'), (16, 'S')]	0	Anodyne	261	JAAARL	JA	hmdbendo
