zinc_id	supplier_code	substance.preferred_name	substance.smiles	substance.purchasable	substance.purchasability	substance.rb	substance.reactive	substance.features	calalog
ZINC000013131849	NCGC00085142-01	NA	COc1cccc([C@H]2C[C@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000001442484	NCGC00085145-01	NA	CCN(CC)S(=O)(=O)c1ccc(C(=O)OCCN2C(=O)CCC2=O)cc1	50	Premier	8	0	set(['aggregator'])	aggregators
ZINC000000213511	NCGC00085147-01	NA	Cc1cccc(OCC(=O)NCc2ccncc2)c1C	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000004936342	NCGC00085148-01	NA	CC(C)[C@@H](NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1C[C@H](C)C[C@H](C)C1	10	For-Sale	5	0	set(['aggregator'])	aggregators
ZINC000004936349	NCGC00085148-01	NA	CC(C)[C@@H](NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1C[C@H](C)C[C@@H](C)C1	10	For-Sale	5	0	set(['aggregator'])	aggregators
ZINC000013131536	NCGC00085148-01	NA	CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1C[C@H](C)C[C@@H](C)C1	10	For-Sale	5	0	set(['aggregator'])	aggregators
ZINC000013131540	NCGC00085148-01	NA	CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1C[C@H](C)C[C@H](C)C1	10	For-Sale	5	0	set(['aggregator'])	aggregators
ZINC000019118115	NCGC00085149-01	NA	COCc1cc(C)nc(N2CCOCC2)c1C#N	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000006577844	NCGC00085150-01	NA	CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1CCN(c2ccccc2F)CC1	10	For-Sale	6	0	set(['aggregator'])	aggregators
ZINC000006577845	NCGC00085150-01	NA	CC(C)[C@@H](NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1CCN(c2ccccc2F)CC1	10	For-Sale	6	0	set(['aggregator'])	aggregators
ZINC000018167798	NCGC00085151-01	NA	COc1ccc(OCCSc2ncnc3nc[nH]c32)cc1	50	Premier	6	0	set(['aggregator'])	aggregators
ZINC000020286455	NCGC00085152-01	NA	CN1CCN(C(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)CC1	3	Bks	6	0	set(['aggregator'])	aggregators
ZINC000020286457	NCGC00085152-01	NA	CN1CCN(C(=O)[C@H](Cc2ccccc2)NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)CC1	3	Bks	6	0	set(['aggregator'])	aggregators
ZINC000003633910	NCGC00085153-01	NA	CC[C@@H](C)C(=O)Nc1nc2c(s1)C(=O)CC(C)(C)C2	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000003633911	NCGC00085153-01	NA	CC[C@H](C)C(=O)Nc1nc2c(s1)C(=O)CC(C)(C)C2	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000006577925	NCGC00085154-01	NA	CN(CC(=O)N1CCc2ccccc2C1)S(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000002503034	NCGC00085155-01	NA	COC(=O)c1cc(-c2ccc(Br)cc2)on1	50	Premier	2	0	set(['aggregator'])	aggregators
